Industry,Description,String
Financial Services,This is a broad string for finding financial planning and analysis people in New York,"(""Financial Planning and Analysis"" OR ""FP&A"") AND (""New York"" OR NYC)"
Accounting,Search string for targeting Big 4 accounting firms.,"(Deloitte OR PwC OR ""PricewaterhouseCoopers"" OR EY OR ""Ernst & Young"" OR ""Ernst and Young"" OR KPMG OR ""Big 4"" OR ""Big four"")"
Internet,Sample string for finding top data scientists,"(Head OR Lead OR Chief OR ""Vice President"" OR SVP OR VP OR Director OR Dir. OR Manager) AND (""Data Science"" OR ""Data Scientist"" OR (Analytics AND Python))"
Financial Services,Find a consumer credit risk professional,"(""Chief Credit Risk Officer"" OR CCRO OR ""Vice President"" OR SVP OR VP OR Director OR ""Senior Manager"" OR Head) AND (""Risk Management"" OR ""Credit Risk"") AND (""Consumer Finance"" OR ""Consumer Lending"")"
Accounting,Search string for finding accounting and finance executives.,"CFO OR ""Chief Financial Officer"" OR CAO OR ""Chief Accounting Officer"" OR Controller OR ((VP OR EVP OR AVP OR SVP OR ""vice president"") AND (accounting OR finance OR financial OR fpa OR fp&a))"
Accounting,Broad string for finding Plant Controllers,(Plant OR Site OR Manufacturing OR Operations) AND (Controller)
Accounting,General string for finding lead Internal Audit executives on LinkedIn,"(""Chief Audit Executive"" OR CAE OR SVP OR VP OR ""Vice President"" OR Director OR Manager OR Head) (""Internal Audit"" OR ""Internal Controls"") site:linkedin.com/in"
Automotive,all account managers in the Monroe mi area with a degree and engineer,"""account manager"" bachelors (engineer OR engineering) ""Monroe, mi"""
Internet,Broad string for finding Java developers on LinkedIn with no seniority or location specified,(Java OR J2ee OR Jee) (Developer OR Development OR Engineer OR Architect OR Technologist OR Engineering) site:linkedin.com/in
Automotive,Auto tech,Automotive AND Technician
Information Technology & Services,Broad string for finding heads of Information Technology/IT based on title,"(CIO OR ""Information Officer"" OR ""Vice President"" OR SVP OR VP OR Director OR Manager OR Head) AND (""Information Technology"" OR ""Information System"" OR IT OR IS)"
Internet,Find Python Developers (Courtesy of Talentsonar),(programmer OR developer OR engineer OR sde) AND python AND (django OR flask OR pyramid OR bottle) AND (virtualenv OR chef OR puppet OR sentry OR raven OR implement OR deploy OR design)
Computer Networking,Infrastructure Automation Engineer,"site:plus.google.com (inurl:about) works at Texeltek inc System Administrator (LINUX OR EC2 OR AWS OR Infrastructure) -jobs
"
Design,UX Designer in San Francisco who can code in HTML and CSS (Courtesy of TalentSonar),"( -job -jobs -career -opening -openings ) (resume OR cv ) (""ux designer"" OR ""ui designer"" OR ""visual designer"" ) ( near ""San Francisco"" ) (html AND css ) (photoshop OR ps OR mockup OR mocksup OR bootstrap )"
Information Technology & Services,X-Ray search LinkedIn for IT professionals,"(CIO OR ""Information Officer"" OR ""Vice President"" OR VP OR Head OR ""Director"") (Information Technology OR IT OR IS)  site:linkedin.com/in"
Internet,Broad adtech categories,"(DMP OR ""Data Management Platform"" OR DSP OR ""Demand-side Platform"" OR SSP OR ""Supply-side Platform"" OR DS OR ""Data Supplier"" OR RTB OR ""Real-time Bidding"" OR Adtech OR ""Advertising Technology"")"
Transportation/Trucking/Railroad,logistics transport jobseekers,"inurl:linkedin.com/in OR inurl:linkedin.com/pub /in (logistic OR logistics OR transport OR transportation OR forwarder OR forwarding OR dispatcher OR disponent OR freight OR expeditor OR expediting OR trucking OR truck OR roadfreight OR â€œroad freightâ€ OR cargo OR charterer OR fleet OR disponent) AND (jobless OR unemployed OR ""looking for"" OR â€œin searchâ€ OR searching OR seeking OR â€œready forâ€ OR ""new opportunity"" OR ""new challenge"" OR ""new job"" OR opportunity OR opportunities OR challenge OR challenges)"
Hospital & Health Care,Physicians,"site:linkedin.com/in | site:linkedin.com/pub -dir (physician | emergency | ""family medicine"" | ""critical care""| medicine) (doctor OR MD OR DO OR PA)"
Mental Health Care,psychiatrist in a certain area code,"(intitle:resume OR intitle:cv OR intitle:vitae OR inurl:profile OR inurl:""aboutme"") ""psychiatrist"" (Tacoma OR Olympia OR 253) -sample"
Hospital & Health Care,nursing (LPN) program accreditation list,"filetype:docx (intitle:graduate OR inurl:graduate OR intitle:member OR inurl:member OR intitle:registrants OR inurl:registrants OR intitle:profiles OR inurl:profiles) (""licensed practical nurse"" OR LPN) ""American Nurses Association"" -jobs -job "
Information Technology & Services,Gives resumes of candidates that are shared on the slideshare. Contact details provided along with resume,"site:slideshare.net (CV OR Vitae) ""business development"" ""information technology"" sales florida"
Construction,Find candidates who are technician with clearance,"""fire alarm technician"" AND (""top secret clearance"" OR ""secret clearance"" OR ""security clearance"" OR ""top security clearance"") AND (notifier OR siemens OR simplex) AND nicet"
Staffing & Recruiting,"This string is for Microstrategy Developer 
Can be utilize in job boards like Dice and Monster","(microstrateg* OR ""microstrategy developer"" OR ""microstrategy engineer"") OR (""BI reports"" OR ""dashboards"" OR cubes) AND (""SQL Server"") AND (""command Manager"" OR ""Object Manager"" OR ""System Manager"" OR ""Integrity Manager"" OR ""Enterprise Manager"" OR ""I-server"" OR ""Web Server"" OR ""visual Insight"")"
Information Technology & Services,Android and/or iOS Developer,"(Android OR iOS) AND (Java OR â€œObjective-Câ€ OR ObjC OR â€œObjective Câ€ OR Swift) AND (""android developer"" OR â€œiOS Developerâ€ OR ""mobile developer"")"
Human Resources,Human Resource Professionals with specialization in Unions,"(intitle:resume OR inurl:resume OR intitle:cv OR intitle:vitae OR inurl:cv OR inurl:vitae) (""gmail.com"" OR ""yahoo.com"" OR ""earthlink.com"" OR ""aol.com"") (""human resources"" OR hr) (""employee relations"" OR union OR unions OR ""bargaining unit"") -sample"
Staffing & Recruiting,Talent Acquisition Professionals in the Northwest ,"site:angel.co (recruiter OR recruiting OR ""talent acquisition"" OR sourcer OR headhunter OR ""headhunter"") (""i am"" OR he OR she) (pdx OR ""portland, or"" OR oregon OR ""vancouver, washington"") -job"
Automotive,String for automotive professionals in the collision industry,"site:slideshare.net (estimator OR appraiser OR technician) (collision OR autobody OR ""auto body"" OR bodyshop OR ""body shop"") (""gmail.com""|""yahoo.com""|""aol.com""|""hotmail.com""|""sbcglobal.net""|""earthlink.net"")
"
Automotive,automotive professionals in the collision industry seeking employment,"site:linkedin.com/in (""seeking new"" OR ""looking for new"" OR unemployed OR ""currently seeking"" OR ""currently looking"") (""auto body"" OR autobody OR collision OR bodyshop OR ""body shop"") 
"
Information Technology & Services,String for User Experience/User Interface designers/researches no specified locations ,"site:plus.google.com ""lives in *"" (ux OR ""user experience"" OR ""user designer"" OR ""ux/ui"" OR ui OR uxd OR ued OR xd)   (design OR designing OR research OR researcher OR researching OR designer OR designs) "
Hospital & Health Care,String for doctors specializing in emergency medicine ,site:doximity.com AND inurl:pub â€œemergency medicineâ€
Hospital & Health Care,Doctors specialized in Oral & Maxillofacial surgery,"site:doximity.com AND inurl:pub (""oral & maxillofacial"" OR maxillofacial OR jaw OR face OR omses OR facial) (md OR doctor OR ""m.d."" OR physician)"
Information Technology & Services,User Experience/ User Interface professionals living in the bay area,"site:plus.google.com AND (""lives in california""|""lives in bay area"")  (ux|""user experience""|""user designer""|""ux/ui""|ui|uxd|ued|xd) (design|designing|research|researcher|researching|designer|designs) "
Hospital & Health Care,LPN,"(LPN OR ""L.P.N."" OR ""Licensed Practical Nurse"")"
Hospital & Health Care,Find obstetrics in Luxembourg,inurl:(dr AND lu) AND obstetric*
Automotive,industrial engineer in detroit mi area,"(intitle:resume OR inurl:resume) (""industrial engineer"" OR ""LAUNCH ENGINEER"") (AUTOCAD OR PFMEA) detroit, mi"
Insurance,Insurance Underwriting Manager with Farm or Agribusiness Specialty,site:www.linkedin.com/in/ OR site:www.linkedin.com/pub/ -intitle:â€profilesâ€ -inurl:â€dir/ â€œ Insurance Underwriting AND (Manager OR Supervisor OR Director) AND Commercial AND (Farm OR Agribusiness)
Mechanical or Industrial Engineering,"UK linkedin, London based, with some sort of German language proficiency","site:uk.linkedin.com/in ""german * * proficiency"" AND ""london, united kingdom"" AND mechanical engineer"
